rank	source_id	year	doi	title	venue	type
70	citation-70	2004		Comparing Copying and Trailing Implementations for Encapsulated Search	WFLP 2004	proceedings-article
71	citation-71	1999		Implementing Encapsulated Search for a Lazy Functional Logic Language	FLOPS 1999	proceedings-article
72	citation-72	1999		An Efficient Abstract Machine for Curry	Informatik 1999	proceedings-article
73	citation-73	1998		The Call-by-Need Lambda Calculus	Journal of Functional Programming	article
74	citation-74	1978		History of LISP	History of Programming Languages	proceedings-article
75	citation-75	1990		The Definition of Standard ML	MIT Press	book
76	citation-76	2007		A Functional-Logic Library for Wired	Haskell 2007	proceedings-article
77	citation-77	1999		Tracing Piece by Piece: Affordable Debugging for Lazy Functional Languages	ICFP 1999	proceedings-article
78	citation-78	2001		How to Look Busy While Being as Lazy as Ever: The Implementation of a Lazy Functional Debugger	Journal of Functional Programming	article
79	citation-79	1994		Algorithmic Debugging for Lazy Functional Languages	Journal of Functional Programming	article
80	citation-80	1997		The Evaluation Dependence Tree as a Basis for Lazy Functional Debugging	Automated Software Engineering	article
81	citation-81	1997		The Evaluation Dependence Tree as a Basis for Lazy Functional Debugging	Automated Software Engineering	article
82	citation-82	1992		The Nofib Benchmark Suite of Haskell Programs	Functional Programming	proceedings-article
83	citation-83	1998		Controlling Search in Declarative Programs	PLILP/ALP 1998	proceedings-article
84	citation-84	2010		PAKCS: The Portland Aachen Kiel Curry System	software	software
85	citation-85	2006		Curry: An Integrated Functional Logic Language (Version 0.8.2)	Curry language specification	report
86	citation-86	2000		Deriving Backtracking Monad Transformers	ICFP 2000	proceedings-article
87	citation-87	2007		Einfuhrung in die Constraint-Programmierung	Springer	book
88	citation-88	2006		The Interactive Curry Observation Debugger COOiSY	WFLP 2006	proceedings-article
89	citation-89	1993		Nondeterministic Algebraic Specifications and Algebraic Programs	Birkhauser Verlag	book
90	citation-90	1985		Lambda Lifting: Transforming Programs to Recursive Functions	Functional Programming Languages and Computer Architecture	proceedings-article
91	citation-91	2006		Simple Unification-Based Type Inference for GADTs	ICFP 2006	proceedings-article
92	citation-92	2007		Practical Type Inference for Arbitrary-Rank Types	Journal of Functional Programming	article
93	citation-93	2003		Haskell 98 Language and Libraries - The Revised Report	Cambridge University Press	book
94	citation-94	1987		The Implementation of Functional Programming Languages	Prentice Hall	book
95	citation-95	2002		Types and Programming Languages	MIT Press	book
96	citation-96	2005		Declarative Debugging with Buddha	Advanced Functional Programming	book-chapter
97	citation-97	2003		Practical Aspects of Declarative Debugging in Haskell-98	PPDP 2003	proceedings-article
98	citation-98	2004		Polymorphic Typed Defunctionalization	POPL 2004	proceedings-article
99	citation-99	1972		Definitional Interpreters for Higher-Order Programming Languages	ACM National Conference	proceedings-article
100	citation-100	2008		SmallCheck and Lazy SmallCheck: Automatic Exhaustive Testing for Small Values	Haskell 2008	proceedings-article
101	citation-101	2006		Constructive Failure in Functional-Logic Programming: From Theory to Implementation	Journal of Universal Computer Science	article
102	citation-102	1997		Formally Based Profiling for Higher-Order Functional Languages	ACM Transactions on Programming Languages and Systems	article
103	citation-103	2009		Counterexamples to Simulation in Non-Deterministic Call-by-Need Lambda-Calculi with Letrec	Frank Report 38	technical-report
104	citation-104	1924		Uber die Bausteine der mathematischen Logik	Mathematische Annalen	article
105	citation-105	1997		Deriving a Lazy Abstract Machine	Journal of Functional Programming	article
106	citation-106	1983		Algorithmic Program Debugging	MIT Press	book
107	citation-107	2008		Debugging Non-Strict Programs by Strict Evaluation	Christian-Albrechts-Universitat zu Kiel	thesis
108	citation-108	2006		A Comparative Study of Algorithmic Debugging Strategies	LOPSTR 2006	proceedings-article
109	citation-109	1974		Automated Theorem-Proving for Theories with Simplifiers, Commutativity, and Associativity	Journal of the ACM	article
110	citation-110	1995		The Oz Programming Model	Computer Science Today: Recent Trends and Developments	book-chapter
111	citation-111	1996		The Design and Implementation of Mercury	JICSLP 1996 tutorial	tutorial
112	citation-112	1993		Fixing Some Space Leaks Without a Garbage Collector	FPCA 1993	proceedings-article
113	citation-113	1997		Tracing Lazy Functional Computations Using Redex Trails	PLILP 1997	proceedings-article
114	citation-114	1997		Complete and Partial Redex Trails of Functional Computations	IFL 1997	proceedings-article
115	citation-115	1997		Tracing Lazy Functional Computations Using Redex Trails	PLILP 1997	proceedings-article
116	citation-116	1987		Fixing Some Space Leaks with a Garbage Collector	Software: Practice and Experience	article
117	citation-117	1985		How to Replace Failure by a List of Successes	Functional Programming and Computer Architecture	proceedings-article
118	citation-118	1989		How to Make Ad-Hoc Polymorphism Less Ad Hoc	POPL 1989	proceedings-article
119	citation-119	2001		Multiple-View Tracing for Haskell: A New Hat	Haskell Workshop 2001	proceedings-article
120	citation-120	1990		Algebraic Specification	Handbook of Theoretical Computer Science	book-chapter
121	citation-121	2009		Code-Erzeugung zur Unterstutzung der Fehlersuche	Christian-Albrechts-Universitat zu Kiel	thesis
