rank	source_id	year	doi	title	venue	type
25	https://doi.org/10.1145/3314221.3314618	2019	https://doi.org/10.1145/3314221.3314618	Lazy Counterfactual Symbolic Execution	PLDI	conference-paper
26	https://doi.org/10.1145/3331545.3342590	2019	https://doi.org/10.1145/3331545.3342590	G2Q: Haskell Constraint Solving	Haskell Symposium	conference-paper
27	https://doi.org/10.1007/978-3-642-04694-0_6	2009	https://doi.org/10.1007/978-3-642-04694-0_6	State Joining and Splitting for the Symbolic Execution of Binaries	Runtime Verification	conference-paper
28	https://doi.org/10.1007/s100090050043	2000	https://doi.org/10.1007/s100090050043	Model checking Java programs using Java PathFinder	International Journal on Software Tools for Technology Transfer	article
29	citation-29	2021		vector-sized	Hackage	software
30	https://doi.org/10.1145/1806799.1806833	2010	https://doi.org/10.1145/1806799.1806833	Oracle-Guided Component-Based Program Synthesis	ICSE	conference-paper
31	citation-31	1969		A program verifier	PhD thesis	dissertation
32	https://doi.org/10.1145/800027.808444	1975	https://doi.org/10.1145/800027.808444	A New Approach to Program Testing	International Conference on Reliable Software	conference-paper
33	https://doi.org/10.1145/360248.360252	1976	https://doi.org/10.1145/360248.360252	Symbolic Execution and Program Testing	Communications of the ACM	article
34	citation-34	2013		Efficient Set Monad	Technical web note	other
35	https://doi.org/10.1145/2503778.2503791	2013	https://doi.org/10.1145/2503778.2503791	Extensible Effects: An Alternative to Monad Transformers	Haskell Symposium	conference-paper
36	https://doi.org/10.1145/2103656.2103675	2012	https://doi.org/10.1145/2103656.2103675	Constraints as Control	POPL	conference-paper
37	https://doi.org/10.1145/2254064.2254088	2012	https://doi.org/10.1145/2254064.2254088	Efficient State Merging in Symbolic Execution	PLDI	conference-paper
38	https://doi.org/10.1109/CGO.2004.1281665	2004	https://doi.org/10.1109/CGO.2004.1281665	LLVM: A Compilation Framework for Lifelong Program Analysis & Transformation	CGO	conference-paper
39	https://doi.org/10.1007/978-3-642-17511-4_20	2010	https://doi.org/10.1007/978-3-642-17511-4_20	Dafny: An Automatic Program Verifier for Functional Correctness	LPAR	conference-paper
40	https://doi.org/10.1007/978-3-642-12002-2_26	2010	https://doi.org/10.1007/978-3-642-12002-2_26	A Polymorphic Intermediate Verification Language: Design and Logical Encoding	TACAS	conference-paper
41	https://doi.org/10.1145/2884781.2884807	2016	https://doi.org/10.1145/2884781.2884807	Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis	ICSE	conference-paper
42	https://doi.org/10.1145/3358502.3361269	2019	https://doi.org/10.1145/3358502.3361269	From Definitional Interpreter to Symbolic Executor	META	conference-paper
43	https://doi.org/10.1007/978-3-540-78800-3_24	2008	https://doi.org/10.1007/978-3-540-78800-3_24	Z3: An Efficient SMT Solver	TACAS	conference-paper
44	https://doi.org/10.1145/2393596.2393667	2012	https://doi.org/10.1145/2393596.2393667	Rubicon: Bounded Verification of Web Applications	FSE	conference-paper
45	https://doi.org/10.1145/3341301.3359641	2019	https://doi.org/10.1145/3341301.3359641	Scaling Symbolic Evaluation for Automated Verification of Systems Code with Serval	SOSP	conference-paper
46	https://doi.org/10.1145/3498709	2022	https://doi.org/10.1145/3498709	A Formal Foundation for Symbolic Evaluation with Merging	Proceedings of the ACM on Programming Languages	article
47	https://doi.org/10.21236/ADA606736	1986	https://doi.org/10.21236/ADA606736	Multiple-Valued Logic Minimization for PLA Synthesis	Technical report	report
48	https://doi.org/10.1145/2500365.2500602	2013	https://doi.org/10.1145/2500365.2500602	The Constrained-Monad Problem	ICFP	conference-paper
49	https://doi.org/10.1145/2491411.2491447	2013	https://doi.org/10.1145/2491411.2491447	Jalangi: A Selective Record-Replay and Dynamic Analysis Framework for JavaScript	ESEC/FSE	conference-paper
50	https://doi.org/10.1145/2786805.2786830	2015	https://doi.org/10.1145/2786805.2786830	MultiSE: Multi-Path Symbolic Execution Using Value Summaries	ESEC/FSE	conference-paper
51	https://doi.org/10.1145/3368089.3409734	2020	https://doi.org/10.1145/3368089.3409734	Java Ranger: Statically Summarizing Regions for Efficient Symbolic Execution of Java	ESEC/FSE	conference-paper
52	https://doi.org/10.1145/581690.581691	2002	https://doi.org/10.1145/581690.581691	Template Meta-Programming for Haskell	Haskell Workshop	conference-paper
53	https://doi.org/10.1109/FMCAD.2008.ECP.23	2008	https://doi.org/10.1109/FMCAD.2008.ECP.23	Symbolic Program Analysis Using Term Rewriting and Generalization	FMCAD	conference-paper
54	citation-54	2008		Program Synthesis by Sketching	PhD thesis	dissertation
55	https://doi.org/10.1145/1168857.1168907	2006	https://doi.org/10.1145/1168857.1168907	Combinatorial Sketching for Finite Programs	ASPLOS	conference-paper
56	citation-56	2021		bytestring	Hackage	software
57	https://doi.org/10.1016/0890-5401(90)90018-D	1990	https://doi.org/10.1016/0890-5401(90)90018-D	Type Inference for Polymorphic References	Information and Computation	article
58	citation-58	2016		unsound behavior?	Rosette issue 36	other
59	citation-59	2021		Use early return in rosette?	Rosette issue 201	other
